Year	Temperature	Velocity	CO2	CH4	N2O
1880	13.84	0.08999999999999986	290.7	847.48	278.2
1881	13.93	-0.02999999999999936	291.1	849.11	278.28
1882	13.9	-0.0600000000000005	291.5	850.74	278.36
1883	13.84	-0.10999999999999943	291.9	852.37	278.44
1884	13.73	-0.0600000000000005	292.3	854.0	278.52
1885	13.67	0.019999999999999574	293.0	857.35	278.7
1886	13.69	-0.03999999999999915	293.46	859.3240000000002	278.8
1887	13.65	0.17999999999999972	293.92	861.298	278.9
1888	13.83	0.07000000000000028	294.38	863.2719999999999	279.0
1889	13.9	-0.25	294.8400000000001	865.2460000000001	279.1
1890	13.65	0.129999999999999	294.2	867.22	279.1
1891	13.78	-0.049999999999998934	294.44	869.1940000000002	279.18
1892	13.73	-0.040000000000000924	294.68	871.168	279.26000000000005
1893	13.69	0.009999999999999787	294.92	873.1419999999999	279.34000000000003
1894	13.7	0.08000000000000007	295.16	875.1160000000001	279.4200000000001
1895	13.78	0.11000000000000121	294.8	878.76	279.5
1896	13.89	0.009999999999999787	294.92	881.068	279.58
1897	13.9	-0.16000000000000014	295.04	883.3760000000001	279.66
1898	13.74	0.08999999999999986	295.16	885.684	279.74
1899	13.83	0.08999999999999986	295.2800000000001	887.992	279.82
1900	13.92	-0.07000000000000028	295.8	890.3	279.8
1901	13.85	-0.11999999999999922	296.0	892.6080000000001	279.86
1902	13.73	-0.08999999999999986	296.2	894.9159999999998	279.92
1903	13.64	-0.10000000000000142	296.4000000000001	897.2239999999998	279.98
1904	13.54	0.20000000000000107	296.6	899.5319999999998	280.04
1905	13.74	0.03999999999999915	297.6	912.07	280.3
1906	13.78	-0.16000000000000014	297.9600000000001	916.424	280.40000000000003
1907	13.62	-0.049999999999998934	298.32000000000005	920.778	280.5
1908	13.57	-0.05000000000000071	298.68	925.132	280.6
1909	13.52	0.05000000000000071	299.04	929.486	280.7
1910	13.57	0.0	299.7	935.46	281.0
1911	13.57	0.08000000000000007	300.12	940.138	281.14
1912	13.65	0.009999999999999787	300.54	944.816	281.28
1913	13.66	0.1899999999999995	300.96	949.4939999999999	281.42
1914	13.85	0.009999999999999787	301.37999999999994	954.172	281.56
1915	13.86	-0.20999999999999908	301.4	961.48	281.8
1916	13.65	-0.09999999999999964	301.7399999999999	966.684	281.9600000000001
